Title,Price,Rating,Image,Type
OnePlus,"64,999",4.5 out of 5 stars,https://m.media-amazon.com/images/I/71vRZZ+FCiL._AC_UY218_.jpg,Organic
Redmi,"33,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/81UgjzCNSrL._AC_UY218_.jpg,Organic
Samsung,"1,39,999",1.8 out of 5 stars,https://m.media-amazon.com/images/I/7183hZxM8YL._AC_UY218_.jpg,Organic
Samsung,N/A,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71ZEUU8JejL._AC_UY218_.jpg,Organic
iQOO,"72,999",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61OB0B7FA-L._AC_UY218_.jpg,Organic
Redmi,"24,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81Q6abCDLfL._AC_UY218_.jpg,Organic
TheGiftKart,499,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51NuVolkg7L._AC_UY218_.jpg,Organic
TheGiftKart,298,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61T1+3eNfsL._AC_UY218_.jpg,Organic
TheGiftKart,347,4.3 out of 5 stars,https://m.media-amazon.com/images/I/51OlVF7Pp+L._AC_UY218_.jpg,Organic
DIZORO,273,3.7 out of 5 stars,https://m.media-amazon.com/images/I/61+lvQet-hL._AC_UY218_.jpg,Organic
Total Damage & Theft Protection Plan for Samsung Galaxy S24 Ultra 5G AI Smartphone. Get Samsung Smartphone Insurance Plan with Extended Warranty. (Email Delivery) (3 Year Protection Plan),"19,999",N/A,https://m.media-amazon.com/images/I/51t8VvtTpwL._AC_UY218_.jpg,Organic
TheGiftKart,349,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61GOknruAWL._AC_UY218_.jpg,Organic
TheGiftKart,349,3.8 out of 5 stars,https://m.media-amazon.com/images/I/61+TpeHkx9L._AC_UY218_.jpg,Organic
CEDO,199,3.7 out of 5 stars,https://m.media-amazon.com/images/I/71DYLkvsLdL._AC_UY218_.jpg,Organic
"Matte Finish Full Body Cover Back Protector Compatible with Samsung Galaxy S24 Ultra 5G | Unbreakable Membrane Scratch Guard Full Fit Protective, Case Friendly (Pack of 1)",149,3.0 out of 5 stars,https://m.media-amazon.com/images/I/41akJ+Hin3L._AC_UY218_.jpg,Organic
DR VAKU,998,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61iMA+K6EoL._AC_UY218_.jpg,Organic
